date,domestic_market_contract_low,export_market_spot,domestic_market_spot,wtisplc,mcoilbrenteu,gasregm,impch,expch,prubbusdm,wpufd4111,pcu325211325211,pcu32611332611301,wpu0915021625,pcu3252132521,mhhngsp,wpu072205011,pcu32611132611115,pcu32611132611112,wpu0915021622,pcu3252113252111,canada_export,usa_export,india_export,south_africa_export,turkey_export,brazil_export,germany_export,united_kingdom_export,canada_import,usa_import,india_import,south_africa_import,germany_import,united_kingdom_import,japan_import
2006-03-01,71.0,,,62.9,62.06,2.425,20531.25833,4867.06471,93.9381054725787,154.4,235.4,211.5,,141.1,6.89,,,,,210.2,,,,,288432.0,22916090.0,,,,,,,,,
2006-04-01,67.0,,,69.69,70.26,2.742,21459.069933,4232.404495,97.2718057629218,154.8,231.6,209.5,,138.9,7.16,,,,,204.0,,,,,198426.0,22826896.0,,,,,,,,,
2006-05-01,70.0,,,70.94,69.78,2.907,22317.635131,4434.090049,110.979065175253,154.2,232.6,198.6,,139.4,6.25,,,,,206.1,,,,,439445.0,31941485.0,,,,,,,,,
2006-06-01,73.0,,,70.96,68.56,2.885,23989.699396,4302.905336,122.556484197039,156.1,235.1,196.2,,140.8,6.21,,,,,209.8,,,,,453024.0,28608230.0,,,,,,,,,
2006-07-01,73.0,,,74.41,73.67,2.981,24632.010765,4806.275103,112.63143934534,156.4,235.8,199.2,,141.3,6.17,,,,,210.3,,,,,285726.0,38748175.0,,,,,,,,,
2006-08-01,78.0,,,73.05,73.23,2.952,26713.335235,4603.268577,98.6358399427319,158.3,238.7,202.5,,142.8,7.14,,,,,214.0,,,,,139014.0,39953613.0,,,,,,,,,
2006-09-01,76.0,,,63.87,61.96,2.555,27570.617915,4461.009876,82.4405112899275,159.2,239.9,202.6,,143.7,4.9,,,,,213.8,,,,,253817.0,35794704.0,,,,,,,,,
2006-10-01,70.0,,,58.88,57.81,2.245,29388.601739,4885.264175,82.5755091796405,158.4,238.3,204.7,,143.0,5.85,,,,,210.3,,,,,507711.0,38349932.0,,,,,,,,,
2006-11-01,64.0,,,59.37,58.76,2.229,27775.079221,4595.822622,73.6779209940118,157.9,234.3,204.6,,141.1,7.41,,,,,205.3,,,,,295466.0,55124821.0,,,,,,,,,
2006-12-01,61.0,,,62.03,62.47,2.313,24109.185573,5015.788165,78.1671886168233,160.1,227.6,204.6,,137.5,6.73,,,,,196.2,,,,,315187.0,58978178.0,,,,,,,,,
2007-01-01,61.0,54.0,,54.57,53.68,2.24,25640.562672,4389.534621,94.2393268508427,161.1,224.5,204.5,,135.9,6.55,,,,,194.0,,,,,259697.0,49839043.0,,,,,,,,,
2007-02-01,64.0,55.0,,59.26,57.56,2.278,23038.880362,4532.889974,103.362484237646,163.9,222.4,192.8,,134.8,8.0,,,,,191.4,,,,,400171.0,33865526.0,,,,,,,,,
2007-03-01,67.0,57.0,,60.56,62.05,2.563,22723.044235,5425.393888,101.723364405822,166.3,224.0,192.8,,135.6,7.11,,,,,193.3,,,,,1110651.0,45371182.0,,,,,,,,,
2007-04-01,67.0,59.0,,63.97,67.49,2.845,24241.522773,4703.951215,105.244894811804,166.8,228.8,192.8,,138.3,7.6,,,,,199.0,,,,,509896.0,33233675.0,,,,,,,,,
2007-05-01,71.0,61.0,,63.46,67.21,3.146,25290.574442,5129.43674,107.442120464773,166.8,230.0,192.9,,138.9,7.64,,,,,201.4,,,,,504849.0,48589505.0,,,,,,,,,
2007-06-01,71.0,62.0,,67.48,71.05,3.056,27070.961198,5561.77325,100.30343205675,166.3,231.8,192.9,,140.0,7.35,,100.0,100.0,,204.7,,,,,467833.0,45333265.0,,,,,,,,,
2007-07-01,76.0,63.0,,74.18,76.93,2.965,28601.170814,4665.937256,94.1669188918148,166.4,233.5,,,141.0,6.22,,,,,206.8,,,,,596099.0,44498638.0,,,,,,,,,
2007-08-01,76.0,64.0,,72.39,70.76,2.786,28424.501435,5552.797567,95.8627378373185,166.3,234.4,,,141.6,6.22,,,,,207.0,,,,,370193.0,42853695.0,,,,,,,,,
2007-09-01,76.0,64.0,,79.93,77.17,2.803,29418.96253,5311.870909,98.1121463109289,168.4,233.4,,,141.0,6.08,,,,,206.2,,,,,720424.0,32608922.0,,,,,,,,,
2007-10-01,80.0,66.0,,86.2,82.34,2.803,31555.406402,5532.919982,105.766033621884,169.7,237.0,,,142.9,6.74,,,,,207.9,,,,,1934818.0,43619885.0,,,,,,,,,
2007-11-01,85.0,67.0,,94.62,92.41,3.08,29780.718791,5581.504999,112.615239598575,169.5,243.5,,,146.5,7.1,,,,,215.6,,,,,1142758.0,32777622.0,,,,,,,,,
2007-12-01,85.0,70.0,,91.73,90.93,3.018,25656.56128,6548.881175,112.390984280604,172.2,245.8,,,147.8,7.11,,,,,217.1,,,,,1000760.0,38293584.0,,,,,,,,,
2008-01-01,85.0,70.0,,92.95,92.18,3.043,26193.032145,5556.708852,119.006285148296,174.5,250.0,,,150.6,7.99,,,,,218.7,,,,,774600.0,38173030.0,166651741.0,,,,,,122744998.0,,
2008-02-01,85.0,69.0,,95.35,94.99,3.028,24095.886455,5698.054777,126.552421732544,173.6,250.2,,,150.9,8.54,,,,,218.7,,,,,1211906.0,27457374.0,166553129.0,,,,,,149283636.0,,
2008-03-01,85.0,69.0,,105.56,103.64,3.244,22440.24177,6294.351708,126.643140314431,176.0,250.6,,,151.3,9.41,,,,,220.5,,,,,2032411.0,34557150.0,177037039.0,,,,,,144263050.0,,
2008-04-01,88.0,67.0,,112.57,109.07,3.458,25951.666996,5651.24836,128.593589825004,175.5,251.3,,,152.3,10.18,,,,,222.6,,,,,1289962.0,30288462.0,190567343.0,,,,,,178729898.0,,
2008-05-01,91.0,69.0,,125.39,122.8,3.766,27634.532443,6275.672316,138.277798441455,177.6,256.1,,,155.3,11.27,,,,,228.5,,,,,645557.0,30129185.0,164306225.0,,,,,,149958877.0,,
2008-06-01,96.0,72.0,,133.93,132.32,4.054,27930.640534,6188.166337,146.170315065635,180.0,258.6,,,157.0,12.69,,,,,231.9,,,,,788379.0,23297277.0,181812863.0,,,,,,164454795.0,,
2008-07-01,103.0,80.0,,133.44,132.72,4.062,31247.270669,6234.635702,144.932795280109,181.0,269.8,,,165.0,11.09,,,,,244.5,,,,,1255355.0,34449230.0,208173003.0,,,,,,149423147.0,,
2008-08-01,103.0,77.0,,116.61,113.24,3.779,31823.697889,6201.296378,132.746124912575,181.3,274.4,,,168.4,8.26,,,,,249.4,,,,,775188.0,42514108.0,150949705.0,,,,,,155720956.0,,
2008-09-01,96.0,77.0,,103.9,97.23,3.703,33078.730631,5257.646643,128.710080731291,181.5,269.5,,,166.4,7.67,,,,,240.3,,,,,2744319.0,49162289.0,168068025.0,,,,,,148774375.0,,
2008-10-01,85.0,70.0,,76.65,71.58,3.051,34032.388283,6083.400135,87.077467895931,180.7,264.8,,,164.2,6.74,,,,,233.0,,,,,1750530.0,48200959.0,160547986.0,,,,,,121109577.0,,
2008-11-01,65.0,46.0,,57.44,52.45,2.147,28265.02503,5180.95014,74.9017971351072,179.8,239.1,,,151.0,6.68,,,,,203.5,,,,,1785695.0,28879394.0,107759301.0,,,,,,91855168.0,,
2008-12-01,55.0,32.0,,41.02,39.95,1.687,25079.514978,5110.706195,55.3560842389086,177.7,227.1,,,143.5,5.82,,,,,191.2,,,,,674999.0,19641681.0,70949585.0,,,,,,65210245.0,,
2009-01-01,55.0,39.0,,41.74,43.44,1.788,24743.457402,4159.649756,67.3477472200155,177.7,218.8,,,137.3,5.24,,,,,181.5,,,,,780248.0,24404375.0,91767634.0,,,,,,69191177.0,,
2009-02-01,62.0,42.0,,39.16,43.32,1.923,18845.49521,4661.681362,66.3674465440756,175.0,224.7,,,138.9,4.52,,,,,190.5,,,,,1966489.0,18364536.0,83457225.0,,,,,,69098393.0,,
2009-03-01,62.0,42.0,,47.98,46.54,1.959,21224.713513,5579.259023,64.9008981964321,173.8,222.0,,,136.7,3.96,,,,,189.0,,,,,1124209.0,36156155.0,93685189.0,,,,,,84561401.0,,
2009-04-01,62.0,41.0,,49.79,50.18,2.049,21920.595248,5161.442609,73.7707013618509,175.9,218.4,,,134.4,3.5,,,,,185.0,,,,,621901.0,32616967.0,86745628.0,,,,,,80503202.0,,
2009-05-01,65.0,41.0,,59.16,57.3,2.266,22734.147846,5256.018098,76.8046193901897,174.0,221.6,,,135.8,3.83,,,,,189.0,,,,,552829.0,42390687.0,99073165.0,,,,,,85672914.0,,
2009-06-01,68.0,44.0,,69.68,68.61,2.631,23972.774237,5548.574581,75.9603180428538,176.1,221.3,,,135.8,3.8,,,,,188.8,,,,,641770.0,31157826.0,130212446.0,,,,,,85227362.0,,
2009-07-01,68.0,50.0,,64.09,64.44,2.527,25671.084409,5269.286701,79.3432605757159,173.5,232.0,,,141.7,3.38,,,,,201.2,,,,,973384.0,43433011.0,116402414.0,,,,,,90474898.0,,
2009-08-01,68.0,51.0,,71.06,72.51,2.616,25798.119656,5517.974227,93.2047030240823,173.9,231.5,,,142.5,3.14,,,,,200.8,,,,,471471.0,31321103.0,105566251.0,,,,,,85220437.0,,
2009-09-01,72.0,52.0,,69.46,67.65,2.554,27893.916592,5764.348788,98.5533685046526,173.9,234.8,,,145.1,2.99,,,,,202.7,,,,,698748.0,40202251.0,114592279.0,,,,,,99356550.0,,
2009-10-01,72.0,48.0,,75.82,72.77,2.551,29557.782865,6879.300033,106.69329944307,175.6,233.4,,,144.5,4.01,,,,,200.4,,,,,749315.0,39429448.0,125427728.0,,,,,,91482174.0,,
2009-11-01,72.0,50.0,,78.08,76.66,2.651,27541.720775,7374.160636,115.713711163267,176.9,233.5,,,144.7,3.66,,,,,201.2,,,,,1435341.0,31955967.0,116864536.0,,,,,,91344118.0,,
2009-12-01,72.0,51.0,,74.3,74.46,2.607,26470.075735,8324.982797,127.232811096697,179.8,242.1,,,149.3,5.35,,,,,203.6,,,,,305062.0,55003417.0,106165522.0,,,,,,84888093.0,,
2010-01-01,76.0,56.0,,78.22,76.17,2.715,25215.919006,6898.358856,139.790854789358,180.1,240.0,,,148.6,5.83,,,,,201.0,85264272.0,243608493.0,,805536.0,190932.0,32874523.0,113125576.0,44666643.0,25787263.0,82877181.0,,9723836.0,83218738.0,52677816.0,3133547.0
2010-02-01,84.0,64.0,,76.42,73.75,2.644,23342.777514,6840.227481,141.865718355091,180.9,252.8,,,155.7,5.32,,,,,217.1,84061885.0,230178732.0,,1804158.0,317535.0,29664695.0,105771539.0,42928511.0,28643366.0,78372596.0,,5446836.0,99166103.0,55872515.0,2521829.0
2010-03-01,90.0,69.0,,81.24,78.83,2.772,24292.213197,7400.774615,151.4369231728,185.6,248.7,,,153.7,4.29,,,,,219.5,91895503.0,232468187.0,,1424084.0,488309.0,31323843.0,123254474.0,41244447.0,38397083.0,89650913.0,,8846398.0,120809253.0,60027527.0,2288267.0
2010-04-01,90.0,65.0,,84.48,84.82,2.848,25920.188141,6600.725426,179.086727788998,184.2,263.9,,,162.4,4.03,,,,,238.8,76973466.0,168011033.0,,914269.0,521138.0,38137981.0,123768121.0,38325803.0,31299102.0,74661951.0,,9771332.0,99324643.0,71104465.0,3281961.0
2010-05-01,84.0,63.0,,73.84,75.95,2.836,29052.438345,6755.285795,166.911390841138,184.1,254.0,,,157.5,4.14,,,,,226.0,95454363.0,161234089.0,,900239.0,1004916.0,45783863.0,120755933.0,47862867.0,34879377.0,95386109.0,,10712552.0,116711339.0,62448243.0,3975382.0
2010-06-01,78.0,56.0,,75.35,74.76,2.732,32843.100035,6733.718548,161.740922574989,179.5,247.6,,,154.5,4.8,,,,,218.8,90221379.0,181249748.0,,924042.0,282465.0,31903534.0,115284932.0,37120668.0,37255116.0,89635254.0,,13415342.0,106536151.0,64788926.0,6882619.0
2010-07-01,76.0,52.0,,76.37,75.58,2.729,33266.833594,7339.256032,148.514565693036,180.5,251.7,,,157.0,4.63,,,,,224.8,95626904.0,176766930.0,,942486.0,333195.0,30077586.0,114060230.0,40888872.0,35301449.0,95801442.0,,15382433.0,107473963.0,62946512.0,7242558.0
2010-08-01,76.0,52.5,,76.82,77.04,2.73,35375.288431,7209.734849,150.415532340762,180.1,250.0,,,156.0,4.32,,,,,222.7,88148749.0,203514453.0,,1119934.0,3177477.0,48328367.0,115537579.0,31891589.0,39410756.0,84962282.0,,17353568.0,106482399.0,59737154.0,9372165.0
2010-09-01,81.0,57.0,,75.31,77.84,2.705,35196.698854,7114.311226,160.244065973852,181.9,249.2,,,155.7,3.89,,,,,221.6,88778366.0,184355915.0,,2242193.0,608661.0,35051903.0,127865818.0,44878894.0,36492403.0,82764267.0,,12494588.0,105350781.0,59254504.0,7535953.0
2010-10-01,81.0,58.5,,81.9,82.67,2.801,35083.299437,9417.288527,178.024417122312,182.1,254.1,,,158.3,3.43,,,,,227.7,75334113.0,179872991.0,,1313264.0,483539.0,38308066.0,118198168.0,34911751.0,33910609.0,71918421.0,,10988659.0,119396713.0,50179746.0,7561902.0
2010-11-01,85.0,60.5,,84.14,85.28,2.859,34564.293893,9475.844966,195.323292160842,183.9,249.4,,,155.7,3.71,,,,,221.3,72702229.0,181238381.0,,2808403.0,434645.0,41248995.0,115445168.0,39301123.0,41879653.0,71451649.0,,8492378.0,100130920.0,59421518.0,7315862.0
2010-12-01,85.0,61.5,,89.04,91.45,2.993,30799.583148,10125.554623,215.275194818155,186.0,248.0,,,155.0,4.25,,,,,218.4,85122954.0,185346032.0,,1792609.0,424552.0,57738238.0,111957242.0,37592131.0,28987508.0,81708097.0,,6231185.0,104406806.0,44023421.0,4862280.0
2011-01-01,85.0,61.5,,89.42,96.52,3.095,31377.353746,8017.791834,250.361686346119,186.9,253.0,,,158.1,4.49,,,,,224.1,86869345.0,188238250.0,37773078.0,1994727.0,537894.0,38586848.0,125310116.0,47489095.0,40335246.0,85702532.0,35649297.0,8715743.0,105903120.0,62215598.0,6775204.0
2011-02-01,88.0,63.0,,89.58,103.72,3.211,27244.735813,8383.310124,280.787618727944,193.4,259.7,,,162.5,4.09,,,,,231.6,88576581.0,219983038.0,23628597.0,1591135.0,551600.0,54316343.0,145400011.0,46108519.0,36433055.0,90515678.0,28057324.0,7241441.0,119563248.0,69564895.0,7427185.0
